"","SYMBOL","GENEID"
"544","CD36","ENSG00000135218"
"545","MLK4","ENSG00000143674"
"546","ITGAV","ENSG00000138448"
"547","ZNF285","ENSG00000267508"
"548","TREML4","ENSG00000188056"
"549","CYBRD1","ENSG00000071967"
"550","SLC4A8","ENSG00000050438"
"551","SPRED1","ENSG00000166068"
"552","KLHL14","ENSG00000197705"
"553","METRNL","ENSG00000176845"
"554","ATP1B1","ENSG00000143153"
"555","KIF5C","ENSG00000168280"
"556","PARK2","ENSG00000185345"
"557","HSPA2","ENSG00000126803"
"558","ANK2","ENSG00000145362"
"559","F2RL2","ENSG00000164220"
"560","DHCR24","ENSG00000116133"
"561","RASGRP4","ENSG00000171777"
"562","ARHGEF5","ENSG00000050327"
"563","SECTM1","ENSG00000141574"
"564","CCDC102A","ENSG00000135736"
"565","S100A12","ENSG00000163221"
"566","ARHGEF10","ENSG00000104728"
"567","ARHGAP42","ENSG00000165895"
"568","PPAP2B","ENSG00000162407"
"569","SATB2","ENSG00000119042"
"570","COL1A1","ENSG00000108821"
"571","ELFN2","ENSG00000166897"
"572","PRF1","ENSG00000180644"
"573","GAS7","ENSG00000007237"
"574","PDK4","ENSG00000004799"
"575","HLX","ENSG00000136630"
"576","TRPV3","ENSG00000167723"
"577","SLC11A1","ENSG00000018280"
"578","NR4A1","ENSG00000123358"
"579","ANXA4","ENSG00000196975"
"580","ARHGAP6","ENSG00000047648"
"581","FA2H","ENSG00000103089"
"582","FMN1","ENSG00000248905"
"583","PRELP","ENSG00000188783"
"584","TREM1","ENSG00000124731"
"585","CPNE7","ENSG00000178773"
"586","GYPE","ENSG00000197465"
"587","FGL2","ENSG00000127951"
"588","IL13RA1","ENSG00000131724"
"589","SSBP2","ENSG00000145687"
"590","GPHA2","ENSG00000149735"
"591","WDR17","ENSG00000150627"
"592","APCDD1","ENSG00000154856"
"593","SLC25A27","ENSG00000153291"
"594","KIAA0895","ENSG00000164542"
"595","ZMAT1","ENSG00000166432"
"596","FMOD","ENSG00000122176"
"597","TUNAR","ENSG00000250366"
"598","CCR2","ENSG00000121807"
"599","BIK","ENSG00000100290"
"600","GZMH","ENSG00000100450"
"601","PCDHGB3","ENSG00000262209"
"602","OVCH1","ENSG00000187950"
"603","CRYBG3","ENSG00000080200"
"604","KCNH2","ENSG00000055118"
"605","PRSS1","ENSG00000204983"
"606","PLEKHA4","ENSG00000105559"
"607","HIST1H1E","ENSG00000168298"
"608","AHNAK2","ENSG00000185567"
"609","HIP1R","ENSG00000130787"
"610","LTF","ENSG00000012223"
"611","SLC4A7","ENSG00000033867"
"612","UNC5C","ENSG00000182168"
"613","GEM","ENSG00000164949"
"614","TGFBR3","ENSG00000069702"
"615","ZBTB16","ENSG00000109906"
"616","SP7","ENSG00000170374"
"617","CAPN9","ENSG00000135773"
"618","INSM1","ENSG00000173404"
"619","ADCY9","ENSG00000162104"
"620","ITM2C","ENSG00000135916"
"621","TXNRD3","ENSG00000197763"
"622","PLCL1","ENSG00000115896"
"623","KLRF1","ENSG00000150045"
"624","KCTD12","ENSG00000178695"
"625","NKX6-3","ENSG00000165066"
"626","TSKS","ENSG00000126467"
"627","FGFBP2","ENSG00000137441"
"628","FAM174B","ENSG00000185442"
"629","PTGDS","ENSG00000107317"
"630","GALNT9","ENSG00000182870"
"631","CD14","ENSG00000170458"
"632","GRAP2","ENSG00000100351"
"633","FCGR3A","ENSG00000203747"
"634","SNTB1","ENSG00000172164"
"635","SELENBP1","ENSG00000143416"
"636","PCDHGA6","ENSG00000253731"
"637","CES4A","ENSG00000172824"
"638","SLC39A12","ENSG00000148482"
"639","ARMCX1","ENSG00000126947"
"640","MCHR1","ENSG00000128285"
"641","C1orf95","ENSG00000203685"
"642","MAFA","ENSG00000182759"
"643","TMTC2","ENSG00000179104"
"644","ENPP1","ENSG00000197594"
"645","GPRASP1","ENSG00000198932"
"646","MAF","ENSG00000178573"
"647","ZFYVE28","ENSG00000159733"
"648","NLRP3","ENSG00000162711"
"649","TMEM133","ENSG00000170647"
"650","GPR97","ENSG00000182885"
"651","SMN2","ENSG00000205571"
"652","KDM4E","ENSG00000235268"
"653","PRR18","ENSG00000176381"
"654","PNRC2","ENSG00000189266"
"655","RND1","ENSG00000172602"
"656","BEX5","ENSG00000184515"
"657","GPR183","ENSG00000169508"
"658","AICDA","ENSG00000111732"
"659","GPR56","ENSG00000205336"
"660","ZNF683","ENSG00000176083"
"661","MMP17","ENSG00000198598"
"662","ASAP3","ENSG00000088280"
"663","NUTM2E","ENSG00000228570"
"664","CNPY1","ENSG00000146910"
"665","CD300LF","ENSG00000186074"
"666","MYBL1","ENSG00000185697"
"667","CRIP2","ENSG00000182809"
"668","RHOU","ENSG00000116574"
"669","DUSP4","ENSG00000120875"
"670","DNAH14","ENSG00000185842"
"671","AGPAT9","ENSG00000138678"
"672","HSPG2","ENSG00000142798"
"673","LILRB2","ENSG00000131042"
"674","HK3","ENSG00000160883"
"675","MSR1","ENSG00000038945"
"676","JAM3","ENSG00000166086"
"677","H1F0","ENSG00000189060"
"678","ETS2","ENSG00000157557"
"679","CFTR","ENSG00000001626"
"680","ZNF257","ENSG00000197134"
"681","S1PR5","ENSG00000180739"
"682","NAP1L2","ENSG00000186462"
"683","CD8A","ENSG00000153563"
"684","SCHIP1","ENSG00000151967"
"685","HYDIN","ENSG00000157423"
"686","MOGAT2","ENSG00000166391"
"687","CD3E","ENSG00000198851"
"688","MAGI1","ENSG00000151276"
"689","ZNF727","ENSG00000214652"
"690","PPM1L","ENSG00000163590"
"691","PLCB1","ENSG00000182621"
"692","RHPN1","ENSG00000158106"
"693","GPR128","ENSG00000144820"
"694","TRIB2","ENSG00000071575"
